weight,bias,iteration
1.1948915927536867,1.054264297897395,50
1.5398916441508599,1.1894520787711693,100
1.695605578338331,1.237888612897701,150
1.7685147545078008,1.2485325728831278,200
1.8051674103677533,1.2427842793399935,250
1.8259124710533003,1.2299971503643385,300
1.8396460246691355,1.2142584122851856,350
1.8502576309034553,1.1973532350483023,400
1.8594482754263606,1.180060480999331,450
1.8679622171133143,1.1627191312831269,500
1.8761254806996968,1.1454758945681969,550
1.8840812548103882,1.1283934470763273,600
1.8918927945010202,1.1114977486605748,650
1.899588404413137,1.0947987264484844,700
1.9071811029133359,1.0782993163236583,750
1.9146772182179235,1.06199941512842,800
1.92208014621878,1.0458976081298277,850
1.9293919932830328,1.0299919239617972,900
1.9366142944839781,1.0142801644382824,950
1.9437483276628302,0.9987600485271905,1000
