Price,living_area_renov,Price per living_area_renov,Notater
4.175,1.39,300.35971223021585,Real Estate Expert
10.8,3.23,334.3653250773994,Other
3.7,1.62,228.39506172839504,Real Estate Expert
2.63,2.15,122.32558139534883,Other
3.35,1.41,237.5886524822695,Real Estate Expert
5.16,2.43,212.34567901234567,Real Estate Expert
4.1,1.55,264.51612903225805,Real Estate Expert
7.2,3.16,227.8481012658228,Real Estate Expert
6.7,2.71,247.2324723247233,Real Estate Expert
4.5,1.86,241.93548387096777,Real Estate Expert
2.25,1.93,116.58031088082902,Other
7.75,2.88,269.09722222222223,Real Estate Expert
2.75,1.72,159.88372093023256,Other
4.6995,1.71,274.82456140350877,Real Estate Expert
12.8,4.03,317.61786600496276,Other
3.07,0.99,310.1010101010101,Other
4.6695,1.11,420.6756756756757,House Owner
8.75,1.91,458.1151832460733,House Owner
5.0,2.84,176.05633802816902,Other
2.66,1.88,141.48936170212767,Other
2.7,1.55,174.19354838709677,Other
5.15,2.08,247.59615384615384,Real Estate Expert
8.199,1.56,525.5769230769231,House Owner
3.22,2.25,143.11111111111111,Other
3.8510000000000004,1.3,296.2307692307692,Real Estate Expert
3.99,1.36,293.38235294117646,Real Estate Expert
8.9,2.3,386.9565217391304,House Owner
4.25,1.54,275.97402597402595,Real Estate Expert
3.1,1.4,221.42857142857144,Real Estate Expert
1.57,1.25,125.6,Other
5.5,1.92,286.4583333333333,Real Estate Expert
4.9795,1.54,323.34415584415586,Other
2.685,1.14,235.52631578947367,Real Estate Expert
3.9,1.47,265.3061224489796,Real Estate Expert
5.5,2.05,268.2926829268293,Real Estate Expert
4.385,1.32,332.1969696969697,Other
3.35,1.29,259.68992248062017,Real Estate Expert
5.35,1.44,371.52777777777777,House Owner
5.55,1.96,283.16326530612247,Real Estate Expert
3.4981,1.25,279.848,Real Estate Expert
3.135,2.12,147.87735849056602,Other
6.53,1.82,358.7912087912088,House Owner
3.98,2.665,149.343339587242,Other
3.1289999999999996,1.83,170.98360655737704,Other
6.2,1.67,371.25748502994014,House Owner
2.57,1.55,165.80645161290323,Other
3.45,1.39,248.20143884892087,Real Estate Expert
2.47,1.73,142.77456647398844,Other
2.67,1.264,211.23417721518987,Real Estate Expert
3.1,2.7,114.8148148148148,Other
3.74,1.67,223.95209580838323,Real Estate Expert
4.45,1.68,264.8809523809524,Real Estate Expert
7.4,2.64,280.3030303030303,Real Estate Expert
2.6,1.99,130.6532663316583,Other
3.5,2.29,152.83842794759826,Other
6.41,2.4,267.0833333333333,Real Estate Expert
7.85,3.32,236.44578313253012,Real Estate Expert
4.89,2.75,177.8181818181818,Other
6.04,2.69,224.53531598513013,Real Estate Expert
4.53,1.7,266.47058823529414,Real Estate Expert
10.5,2.86,367.13286713286715,House Owner
2.24,1.54,145.45454545454547,Other
4.45,1.4,317.85714285714283,Other
9.6999,4.07,238.32678132678132,Real Estate Expert
7.56,1.85,408.64864864864865,House Owner
4.95,2.44,202.8688524590164,Other
4.92,2.37,207.59493670886076,Real Estate Expert
3.56,1.92,185.41666666666663,Other
4.675,2.07,225.84541062801932,Real Estate Expert
5.95,2.56,232.421875,Real Estate Expert
3.185,1.55,205.48387096774192,Real Estate Expert
3.35,2.27,147.5770925110132,Other
2.94,1.4,210.0,Real Estate Expert
3.645,1.52,239.80263157894737,Real Estate Expert
10.8,2.7,400.0,House Owner
4.65,2.91,159.79381443298968,Other
17.7,3.82,952.8795811518324,House Owner
15.0,2.94,510.2040816326531,House Owner
2.555,1.59,160.69182389937106,Other
2.89,2.74,105.47445255474452,Other
2.34,1.2,195.0,Other
9.9,2.34,423.0769230769231,House Owner
5.85,2.5,234.0,Real Estate Expert
7.35,1.9,386.8421052631579,House Owner
2.7,2.15,125.5813953488372,Other
4.3,2.16,199.07407407407408,Other
16.5,2.6,634.6153846153846,House Owner
2.1,1.04,201.92307692307693,Other
3.1,2.08,149.03846153846155,Other
6.4,2.77,231.04693140794225,Real Estate Expert
1.055,1.62,65.12345679012346,Other
5.8,1.35,429.6296296296296,House Owner
4.2804,2.15,199.08837209302325,Other
2.4,1.53,156.86274509803923,Other
11.0,3.05,360.655737704918,House Owner
5.25,2.1,250.0,Real Estate Expert
3.27,1.5,218.0,Real Estate Expert
2.95,2.59,113.8996138996139,Other
4.35,2.19,198.63013698630135,Other
3.55,2.31,153.67965367965368,Other
